split,head_text,head_type,tail_text,tail_type,gold_label,sentence
train,cybersecurity,Product,"NETSCOUT SYSTEMS , INC. ( NASDAQ: NTCT )",Company,SaleOrMarketing,"WESTFORD, Mass., July 27, 2023 -- NETSCOUT SYSTEMS, INC. (NASDAQ: NTCT), a leading provider of enterprise performance management, carrier service assurance, cybersecurity, and DDoS protection, today announced financial results for its first quarter ended June 30, 2023."
train,DDoS protection,Product,"NETSCOUT SYSTEMS , INC. ( NASDAQ: NTCT )",Company,SaleOrMarketing,"WESTFORD, Mass., July 27, 2023 -- NETSCOUT SYSTEMS, INC. (NASDAQ: NTCT), a leading provider of enterprise performance management, carrier service assurance, cybersecurity, and DDoS protection, today announced financial results for its first quarter ended June 30, 2023."
train,anti-cancer drug candidate,Product,"CNS Pharmaceuticals , Inc. ( NASDAQ:CNSP )",Company,Unspecified,"CNS Pharmaceuticals, Inc. (NASDAQ:CNSP) (CNS or the Company), a biopharmaceutical company specializing in the development of novel treatments for primary and metastatic cancers in the brain and central nervous system, today reported its financial results for the full year ended December 31, 2022 and provided a clinical update of its anti-cancer drug candidate currently in development for the treatment of primary and metastatic brain and CNS cancer."
train,combination vaccine,Product,Moderna,Company,Unspecified,Moderna on Wednesday said its combination vaccine to protect against both COVID-19 and influenza generated a strong immune response compared to individual shots for the viruses in an early-stage study.
train,bioprocess walk-up solutions,Product,Waters ( WAT ),Company,Unspecified,"Waters (WAT) launches new bioprocess walk-up solutions, automating sample prep and analysis from any bioreactor."
train,specialized and sustainable material solutions,Product,Avient Corporation ( NYSE: AVNT ),Company,SaleOrMarketing,"Avient Corporation (NYSE: AVNT), a leading provider of specialized and sustainable material solutions, has announced registration details for a virtual Sustainability Day for investment professionals on Wednesday, September 20, 2023, from 9 a.m. 11 a.m. ET."
train,"maintenance , repair and overhaul services",Product,SIAEP,Company,Unspecified,"Embraer (ERJ) signs MoU with SIAEP that will explore further partnerships to include maintenance, repair and overhaul services for the former's E-Jets E2 family of aircraft."
train,E-Jets E2 family of aircraft,Product,Embraer ( ERJ ),Company,Unspecified,"Embraer (ERJ) signs MoU with SIAEP that will explore further partnerships to include maintenance, repair and overhaul services for the former's E-Jets E2 family of aircraft."
train,Oil States International ( OIS ),Company,advanced connection systems for deepwater offshore applications,Product,Development,Oil States International (OIS) is known for its vast experience in designing and manufacturing advanced connection systems for deepwater offshore applications.
train,spaceflights,Product,Virgin Galactic,Company,Unspecified,"Richard Branson said he's booked spaceflights with Virgin Galactic for his 80th, 90th, 100th and 110th birthdays."
train,Vana Tallinn,Product,Tallink,Company,Unspecified,"Tallink claims the watertight doors of both Vana Tallinn and Regina Baltica, including their electrical systems, are fully in working order."
train,Regina Baltica,Product,Tallink,Company,Unspecified,"Tallink claims the watertight doors of both Vana Tallinn and Regina Baltica, including their electrical systems, are fully in working order."
train,embeddable Linux,Product,Metrowerks,Company,Unspecified,"Our embedded systems compete in a highly fragmented environment in which key competitors include IBM, Intel, and versions of embeddable Linux from commercial Linux vendors such as Metrowerks and MontaVista Software."
train,embeddable Linux,Product,MontaVista Software,Company,Unspecified,"Our embedded systems compete in a highly fragmented environment in which key competitors include IBM, Intel, and versions of embeddable Linux from commercial Linux vendors such as Metrowerks and MontaVista Software."
train,Adobe,Company,LiveMotiona software tool,Product,Development,Adobe LiveMotiona software tool that allows professional designers to create two - dimensional Web animations; it provides designers with a rich set of content creation tools for creating both vector and raster graphics in one application for increased productivity.
train,cars,Product,BMW India,Company,SaleOrMarketing,"BMW India sells 8,876 cars in 2021; posts highest growth in a decade"
train,LG,Company,V20,Product,Development,"On 7 September 2016, LG unveiled the V20, and the V30 was announced on 31 August 2017. LG G6 was officially announced during MWC 2017 on 26 February 2017. The G7 ThinQ model was announced at a 2 May 2018 media briefing."
train,LG,Company,V30,Product,Development,"On 7 September 2016, LG unveiled the V20, and the V30 was announced on 31 August 2017. LG G6 was officially announced during MWC 2017 on 26 February 2017. The G7 ThinQ model was announced at a 2 May 2018 media briefing."
train,LG,Company,G6,Product,Development,"On 7 September 2016, LG unveiled the V20, and the V30 was announced on 31 August 2017. LG G6 was officially announced during MWC 2017 on 26 February 2017. The G7 ThinQ model was announced at a 2 May 2018 media briefing."
train,LG,Company,G7 ThinQ model,Product,Development,"On 7 September 2016, LG unveiled the V20, and the V30 was announced on 31 August 2017. LG G6 was officially announced during MWC 2017 on 26 February 2017. The G7 ThinQ model was announced at a 2 May 2018 media briefing."
train,Lockheed,Company,Trident missile,Product,Development,"Lockheed products included the Trident missile, P-3 Orion maritime patrol aircraft, U-2 and SR-71 reconnaissance airplanes, F-117 Nighthawk, F-16 Fighting Falcon, F-22 Raptor, C-130 Hercules, A-4AR Fightinghawk and the DSCS-3 satellite. Martin Marietta products included Titan rockets, Sandia National Laboratories (management contract acquired in 1993), Space Shuttle External Tank, Viking 1 and Viking 2 landers, the Transfer Orbit Stage (under subcontract to Orbital Sciences Corporation) and various satellite models."
train,Lockheed,Company,P-3 Orion maritime patrol aircraft,Product,Development,"Lockheed products included the Trident missile, P-3 Orion maritime patrol aircraft, U-2 and SR-71 reconnaissance airplanes, F-117 Nighthawk, F-16 Fighting Falcon, F-22 Raptor, C-130 Hercules, A-4AR Fightinghawk and the DSCS-3 satellite. Martin Marietta products included Titan rockets, Sandia National Laboratories (management contract acquired in 1993), Space Shuttle External Tank, Viking 1 and Viking 2 landers, the Transfer Orbit Stage (under subcontract to Orbital Sciences Corporation) and various satellite models."
train,Lockheed,Company,U-2 and SR-71 reconnaissance airplanes,Product,Development,"Lockheed products included the Trident missile, P-3 Orion maritime patrol aircraft, U-2 and SR-71 reconnaissance airplanes, F-117 Nighthawk, F-16 Fighting Falcon, F-22 Raptor, C-130 Hercules, A-4AR Fightinghawk and the DSCS-3 satellite. Martin Marietta products included Titan rockets, Sandia National Laboratories (management contract acquired in 1993), Space Shuttle External Tank, Viking 1 and Viking 2 landers, the Transfer Orbit Stage (under subcontract to Orbital Sciences Corporation) and various satellite models."
train,Lockheed,Company,F-117 Nighthawk,Product,Development,"Lockheed products included the Trident missile, P-3 Orion maritime patrol aircraft, U-2 and SR-71 reconnaissance airplanes, F-117 Nighthawk, F-16 Fighting Falcon, F-22 Raptor, C-130 Hercules, A-4AR Fightinghawk and the DSCS-3 satellite. Martin Marietta products included Titan rockets, Sandia National Laboratories (management contract acquired in 1993), Space Shuttle External Tank, Viking 1 and Viking 2 landers, the Transfer Orbit Stage (under subcontract to Orbital Sciences Corporation) and various satellite models."
train,Lockheed,Company,F-16 Fighting Falcon,Product,Development,"Lockheed products included the Trident missile, P-3 Orion maritime patrol aircraft, U-2 and SR-71 reconnaissance airplanes, F-117 Nighthawk, F-16 Fighting Falcon, F-22 Raptor, C-130 Hercules, A-4AR Fightinghawk and the DSCS-3 satellite. Martin Marietta products included Titan rockets, Sandia National Laboratories (management contract acquired in 1993), Space Shuttle External Tank, Viking 1 and Viking 2 landers, the Transfer Orbit Stage (under subcontract to Orbital Sciences Corporation) and various satellite models."
train,Lockheed,Company,F-22 Raptor,Product,Development,"Lockheed products included the Trident missile, P-3 Orion maritime patrol aircraft, U-2 and SR-71 reconnaissance airplanes, F-117 Nighthawk, F-16 Fighting Falcon, F-22 Raptor, C-130 Hercules, A-4AR Fightinghawk and the DSCS-3 satellite. Martin Marietta products included Titan rockets, Sandia National Laboratories (management contract acquired in 1993), Space Shuttle External Tank, Viking 1 and Viking 2 landers, the Transfer Orbit Stage (under subcontract to Orbital Sciences Corporation) and various satellite models."
train,Lockheed,Company,C-130 Hercules,Product,Development,"Lockheed products included the Trident missile, P-3 Orion maritime patrol aircraft, U-2 and SR-71 reconnaissance airplanes, F-117 Nighthawk, F-16 Fighting Falcon, F-22 Raptor, C-130 Hercules, A-4AR Fightinghawk and the DSCS-3 satellite. Martin Marietta products included Titan rockets, Sandia National Laboratories (management contract acquired in 1993), Space Shuttle External Tank, Viking 1 and Viking 2 landers, the Transfer Orbit Stage (under subcontract to Orbital Sciences Corporation) and various satellite models."
train,Lockheed,Company,A-4AR Fightinghawk,Product,Development,"Lockheed products included the Trident missile, P-3 Orion maritime patrol aircraft, U-2 and SR-71 reconnaissance airplanes, F-117 Nighthawk, F-16 Fighting Falcon, F-22 Raptor, C-130 Hercules, A-4AR Fightinghawk and the DSCS-3 satellite. Martin Marietta products included Titan rockets, Sandia National Laboratories (management contract acquired in 1993), Space Shuttle External Tank, Viking 1 and Viking 2 landers, the Transfer Orbit Stage (under subcontract to Orbital Sciences Corporation) and various satellite models."
train,Lockheed,Company,DSCS-3 satellite,Product,Development,"Lockheed products included the Trident missile, P-3 Orion maritime patrol aircraft, U-2 and SR-71 reconnaissance airplanes, F-117 Nighthawk, F-16 Fighting Falcon, F-22 Raptor, C-130 Hercules, A-4AR Fightinghawk and the DSCS-3 satellite. Martin Marietta products included Titan rockets, Sandia National Laboratories (management contract acquired in 1993), Space Shuttle External Tank, Viking 1 and Viking 2 landers, the Transfer Orbit Stage (under subcontract to Orbital Sciences Corporation) and various satellite models."
train,Martin Marietta,Company,Titan rockets,Product,Development,"Lockheed products included the Trident missile, P-3 Orion maritime patrol aircraft, U-2 and SR-71 reconnaissance airplanes, F-117 Nighthawk, F-16 Fighting Falcon, F-22 Raptor, C-130 Hercules, A-4AR Fightinghawk and the DSCS-3 satellite. Martin Marietta products included Titan rockets, Sandia National Laboratories (management contract acquired in 1993), Space Shuttle External Tank, Viking 1 and Viking 2 landers, the Transfer Orbit Stage (under subcontract to Orbital Sciences Corporation) and various satellite models."
train,Martin Marietta,Company,Sandia National Laboratories,Product,Development,"Lockheed products included the Trident missile, P-3 Orion maritime patrol aircraft, U-2 and SR-71 reconnaissance airplanes, F-117 Nighthawk, F-16 Fighting Falcon, F-22 Raptor, C-130 Hercules, A-4AR Fightinghawk and the DSCS-3 satellite. Martin Marietta products included Titan rockets, Sandia National Laboratories (management contract acquired in 1993), Space Shuttle External Tank, Viking 1 and Viking 2 landers, the Transfer Orbit Stage (under subcontract to Orbital Sciences Corporation) and various satellite models."
train,Martin Marietta,Company,Space Shuttle External Tank,Product,Development,"Lockheed products included the Trident missile, P-3 Orion maritime patrol aircraft, U-2 and SR-71 reconnaissance airplanes, F-117 Nighthawk, F-16 Fighting Falcon, F-22 Raptor, C-130 Hercules, A-4AR Fightinghawk and the DSCS-3 satellite. Martin Marietta products included Titan rockets, Sandia National Laboratories (management contract acquired in 1993), Space Shuttle External Tank, Viking 1 and Viking 2 landers, the Transfer Orbit Stage (under subcontract to Orbital Sciences Corporation) and various satellite models."
train,Martin Marietta,Company,Viking 1 and Viking 2 landers,Product,Development,"Lockheed products included the Trident missile, P-3 Orion maritime patrol aircraft, U-2 and SR-71 reconnaissance airplanes, F-117 Nighthawk, F-16 Fighting Falcon, F-22 Raptor, C-130 Hercules, A-4AR Fightinghawk and the DSCS-3 satellite. Martin Marietta products included Titan rockets, Sandia National Laboratories (management contract acquired in 1993), Space Shuttle External Tank, Viking 1 and Viking 2 landers, the Transfer Orbit Stage (under subcontract to Orbital Sciences Corporation) and various satellite models."
train,Martin Marietta,Company,Transfer Orbit Stage,Product,Development,"Lockheed products included the Trident missile, P-3 Orion maritime patrol aircraft, U-2 and SR-71 reconnaissance airplanes, F-117 Nighthawk, F-16 Fighting Falcon, F-22 Raptor, C-130 Hercules, A-4AR Fightinghawk and the DSCS-3 satellite. Martin Marietta products included Titan rockets, Sandia National Laboratories (management contract acquired in 1993), Space Shuttle External Tank, Viking 1 and Viking 2 landers, the Transfer Orbit Stage (under subcontract to Orbital Sciences Corporation) and various satellite models."
train,Martin Marietta,Company,various satellite models,Product,Development,"Lockheed products included the Trident missile, P-3 Orion maritime patrol aircraft, U-2 and SR-71 reconnaissance airplanes, F-117 Nighthawk, F-16 Fighting Falcon, F-22 Raptor, C-130 Hercules, A-4AR Fightinghawk and the DSCS-3 satellite. Martin Marietta products included Titan rockets, Sandia National Laboratories (management contract acquired in 1993), Space Shuttle External Tank, Viking 1 and Viking 2 landers, the Transfer Orbit Stage (under subcontract to Orbital Sciences Corporation) and various satellite models."
train,767 Freighters,Product,Boeing,Company,SaleOrMarketing,UPS to purchase 19 Boeing 767 Freighters as e - commerce expands
train,Polaris Inc.,Company,motorcycles,Product,Development,"Polaris Inc. is an American manufacturer of motorcycles, snowmobiles, all - terrain vehicles, and neighborhood electric vehicles."
train,Polaris Inc.,Company,snowmobiles,Product,Development,"Polaris Inc. is an American manufacturer of motorcycles, snowmobiles, all - terrain vehicles, and neighborhood electric vehicles."
train,Polaris Inc.,Company,all - terrain vehicles,Product,Development,"Polaris Inc. is an American manufacturer of motorcycles, snowmobiles, all - terrain vehicles, and neighborhood electric vehicles."
train,Polaris Inc.,Company,neighborhood electric vehicles,Product,Development,"Polaris Inc. is an American manufacturer of motorcycles, snowmobiles, all - terrain vehicles, and neighborhood electric vehicles."
train,iPhone,Product,Apple,Company,Unspecified,"The iPhone's magical revolution started on Jan. 9, 2007, and helped Apple grow into a $ 3 trillion company over the next 15 years."
train,motorbikes,Product,Yamaha,Company,SaleOrMarketing,"Similarly, the sale of Yamaha motorbikes also went up from 10,524 units to 12,193 units witnessing increase of 15%."
train,PhotoDeluxe --- software,Product,Adobe,Company,Unspecified,Adobe PhotoDeluxe --- software that allows consumers and small businesses to easily enhance and personalize their photos for a wide variety of applications in print and electronic media.
train,local commercial real estate information,Product,"First CLS , Inc. ( doing business as the Dorey Companies and DoreyPRO )",Company,SaleOrMarketing,"In April 2008, we acquired the assets of First CLS, Inc. (doing business as the Dorey Companies and DoreyPRO), an Atlanta - based provider of local commercial real estate information."
train,high - efficiency and high - density power supply products,Product,"Power - One , Inc.",Company,SaleOrMarketing,"Power - One, Inc. is a leading provider of high - efficiency and high - density power supply products for a variety of industries, including renewable energy, servers, storage networking, industrials and network power systems."
train,off - road vehicles,Product,Polaris Industries Inc. ( NYSE : PII ),Company,SaleOrMarketing,"Polaris Industries Inc. (NYSE: PII), a provider of off - road vehicles, snowmobiles, motorcycles and on - road electric / hybrid powered vehicles, and Donaldson Company, Inc."
train,snowmobiles,Product,Polaris Industries Inc. ( NYSE : PII ),Company,SaleOrMarketing,"Polaris Industries Inc. (NYSE: PII), a provider of off - road vehicles, snowmobiles, motorcycles and on - road electric / hybrid powered vehicles, and Donaldson Company, Inc."
train,motorcycles,Product,Polaris Industries Inc. ( NYSE : PII ),Company,SaleOrMarketing,"Polaris Industries Inc. (NYSE: PII), a provider of off - road vehicles, snowmobiles, motorcycles and on - road electric / hybrid powered vehicles, and Donaldson Company, Inc."
train,on - road electric / hybrid powered vehicles,Product,Polaris Industries Inc. ( NYSE : PII ),Company,SaleOrMarketing,"Polaris Industries Inc. (NYSE: PII), a provider of off - road vehicles, snowmobiles, motorcycles and on - road electric / hybrid powered vehicles, and Donaldson Company, Inc."
train,SaaS operations services,Product,CallidusCloud,Company,SaleOrMarketing,"CallidusCloud customers rely on our SaaS operations services to provide the infrastructure, infrastructure operations, and software application operations layers required for the on - going support of sales effectiveness and sales performance management."
train,Sunpower,Company,cryocoolers,Product,Development,Sunpower designs and develops high reliability cryocoolers and externally heated Stirling cycle engines.
train,Sunpower,Company,externally heated Stirling cycle engines,Product,Development,Sunpower designs and develops high reliability cryocoolers and externally heated Stirling cycle engines.
train,advisory services,Product,LEC Minerals Inc,Company,Unspecified,"Mr. Crumb is a co - founder of LEC Minerals Inc, a private investment corporation that also provides advisory services for mining / exploration companies."
train,wireless operations,Product,United States Cellular Corporation ( U.S. Cellular ),Company,Unspecified,"Business Telephone and Data Systems, Inc. (TDS) is a diversified telecommunications service company with wireless operations provided by TDS 84%-owned subsidiary, United States Cellular Corporation (U.S. Cellular) and both wireline operations and hosted and managed services provided by TDS wholly - owned subsidiary, TDS Telecommunications Corporation (TDS Telecom)."
train,wireline operations,Product,TDS Telecommunications Corporation ( TDS Telecom ),Company,Unspecified,"Business Telephone and Data Systems, Inc. (TDS) is a diversified telecommunications service company with wireless operations provided by TDS 84%-owned subsidiary, United States Cellular Corporation (U.S. Cellular) and both wireline operations and hosted and managed services provided by TDS wholly - owned subsidiary, TDS Telecommunications Corporation (TDS Telecom)."
train,hosted and managed services,Product,TDS Telecommunications Corporation ( TDS Telecom ),Company,Unspecified,"Business Telephone and Data Systems, Inc. (TDS) is a diversified telecommunications service company with wireless operations provided by TDS 84%-owned subsidiary, United States Cellular Corporation (U.S. Cellular) and both wireline operations and hosted and managed services provided by TDS wholly - owned subsidiary, TDS Telecommunications Corporation (TDS Telecom)."
train,wireless communication services,Product,Nextel TM brand,Company,Unspecified,"We provide wireless communication services under the Nextel TM brand, primarily targeted at meeting the needs of subscribers who use our services to improve the productivity of their businesses and subscribers who make the individual decision to use our service for both professional and personal needs."
train,industrial material,Product,"PIGOBA , S.A. de C.V.",Company,SaleOrMarketing,"Also, the Company purchased industrial material from PIGOBA, S.A. de C.V., a company in which Mr. Alejandro Gonzalez has a proprietary interest."
train,Solesta,Product,"Oceana Therapeutics , Inc.",Company,SaleOrMarketing,"Solesta In December 2011, we acquired an exclusive worldwide license to Solesta with the completion of our acquisition of Oceana Therapeutics, Inc."
train,retail electric service,Product,OG E,Company,Unspecified,OG E furnishes retail electric service in 268 communities and their contiguous rural and suburban areas.
train,carboxymethyl - cellulose based packing and tamponade products,Product,ATI,Company,Unspecified,"ATI's carboxymethyl - cellulose based packing and tamponade products are used in situations of significant nosebleed, or epistaxis, treatments which are treated in an emergency room setting or surgicenter."
train,wholesale services,Product,Sprint,Company,Unspecified,Sprint provides wholesale services under long - term contracts to cable television operators which enable these operators to provide consumer and business digital telephone services.
train,platelet and plasma disposable kits,Product,EFS,Company,Unspecified,"In 2011, we entered into a two - year contract with the EFS to supply platelet and plasma disposable kits."
train,diagnostic products,Product,Focus Diagnostics,Company,SaleOrMarketing,"Focus Diagnostics sells its diagnostic products to large academic medical centers, hospitals and commercial laboratories globally."
train,Rig Technology,Company,rotary tables,Product,Development,Rig Technology produces rotary tables as well as kelly bushings and master bushings for most sizes of kellys and makes of rotary tables.
train,Rig Technology,Company,kelly bushings,Product,Development,Rig Technology produces rotary tables as well as kelly bushings and master bushings for most sizes of kellys and makes of rotary tables.
train,Rig Technology,Company,master bushings,Product,Development,Rig Technology produces rotary tables as well as kelly bushings and master bushings for most sizes of kellys and makes of rotary tables.
train,flash memory wafers,Product,Flash Ventures,Company,SaleOrMarketing,"Because we purchase the vast majority of our flash memory wafers from Flash Ventures, our flash memory costs, which represent the largest portion of our cost of product revenues, are based upon wafer purchases denominated in Japanese yen."
train,smart device control solutions,Product,UEI,Company,SaleOrMarketing,"In its smart device control solutions, UEI offers all of the elements needed for device control from the micro IR blaster chip to the IR database to the user interface for the touchscreen."
train,broadband services,Product,dishNET brand,Company,SaleOrMarketing,"In addition, we market broadband services under the dishNET brand."
train,site infusion pharmacy services,Product,InfuScience,Company,Unspecified,InfuScience operates businesses providing alternate site infusion pharmacy services.
train,Telesat,Company,Anik G1,Product,Development,Telesat has entered into contracts for the construction and launch of Anik G1 (targeted for launch in 2013).
train,HemoCue,Company,point - of - care testing products,Product,Development,"HemoCue innovates, manufactures and distributes point - of - care testing products globally."
train,security and fire safety products and services,Product,"UTC Climate , Controls Security",Company,SaleOrMarketing,"UTC Climate, Controls Security is also a global provider of security and fire safety products and services."
train,taxation and professional services,Product,Royall Fleschler,Company,Unspecified,"Mr. Royall has been a partner in Royall Fleschler since 1987, a private accounting firm focused on taxation and professional services to emerging companies."
train,communications solutions and services,Product,"IPC Information Systems , LLC",Company,SaleOrMarketing,"Prior to joining Polycom, Mr. Miller served as global president of IPC Information Systems, LLC, a provider of communications solutions and services, from December 2007 to June 2009."
train,food,Product,Jacmar,Company,SaleOrMarketing,"Jacmar, through its affiliation with Distribution Market Advantage, Inc. (DMA), a national foodservice distribution consortium whose participants are prominent regional foodservice distributors, is currently our largest supplier of food, beverage, paper products and supplies."
train,beverage,Product,Jacmar,Company,SaleOrMarketing,"Jacmar, through its affiliation with Distribution Market Advantage, Inc. (DMA), a national foodservice distribution consortium whose participants are prominent regional foodservice distributors, is currently our largest supplier of food, beverage, paper products and supplies."
train,paper products,Product,Jacmar,Company,SaleOrMarketing,"Jacmar, through its affiliation with Distribution Market Advantage, Inc. (DMA), a national foodservice distribution consortium whose participants are prominent regional foodservice distributors, is currently our largest supplier of food, beverage, paper products and supplies."
train,QuetzSat-1 Transponder Service,Product,EchoStar 77 Corporation,Company,Unspecified,"QuetzSat-1 Transponder Service Agreement, dated November 24, 2008, between EchoStar 77 Corporation, a direct wholly - owned subsidiary of EchoStar, and DISH Network L.L.C. (incorporated by reference to Exhibit 10.25 to the Annual Report on Form 10 - K of EchoStar Corporation for the year ended December 31, 2009,"
train,Landfill Gas,Product,"BFI Waste Systems of Tennessee , LLC ( BFI )",Company,SaleOrMarketing,"On October 24, 2006, the Company signed a twenty - year Landfill Gas Sale and Purchase Agreement (the Agreement) with BFI Waste Systems of Tennessee, LLC (BFI), an affiliate of Allied Waste Industries (Allied)."
train,Cell Cycle Kinase Inhibitor,Product,"Pfizer Inc. , or Pfizer",Company,SaleOrMarketing,"Cell Cycle Kinase Inhibitor In May 1995, we entered into a research and development collaboration agreement with Warner - Lambert Company (formerly Parke Davis), now a subsidiary of Pfizer Inc., or Pfizer, to discover and commercialize small molecule drugs that restore control 8 Table of Contents of, or otherwise intervene in, the misregulated cell cycle in tumor cells."
train,Zipsor ( diclofenac potassium ) liquid filled capsules ( Zipsor ),Product,"Xanodyne Pharmaceuticals , Inc ( Xanodyne )",Company,Unspecified,"On June 21, 2012, the Company acquired all rights to Zipsor (diclofenac potassium) liquid filled capsules (Zipsor), from Xanodyne Pharmaceuticals, Inc (Xanodyne)."
train,Dr. Falk Pharma GmbH,Company,mesalamine,Product,Development,"Dr. Falk Pharma GmbH Pursuant to Salix s license agreement, as amended, with Dr. Falk Pharma GmbH, Salix acquired the rights to develop and market a granulated formulation of mesalamine."
train,strategic advisory,Product,SecureInfo,Company,SaleOrMarketing,"SecureInfo offers strategic advisory, operational cybersecurity and cybersecurity risk management services and is a recognized leader in the rapidly evolving fields of cloud security, continuous monitoring and cybersecurity training."
train,operational cybersecurity,Product,SecureInfo,Company,SaleOrMarketing,"SecureInfo offers strategic advisory, operational cybersecurity and cybersecurity risk management services and is a recognized leader in the rapidly evolving fields of cloud security, continuous monitoring and cybersecurity training."
train,cybersecurity risk management services,Product,SecureInfo,Company,SaleOrMarketing,"SecureInfo offers strategic advisory, operational cybersecurity and cybersecurity risk management services and is a recognized leader in the rapidly evolving fields of cloud security, continuous monitoring and cybersecurity training."
train,TiVo,Company,TiVo service,Product,Development,"TiVo's technology for enabling the TiVo service includes: the TiVo service client software platform, the TiVo service infrastructure, and TiVo - enabled hardware designs."
train,LEU,Product,USEC,Company,Unspecified,"Utility customers typically provide uranium to USEC as part of their enrichment contracts, and USEC delivers LEU to the customers and charges for the SWU component."
train,SWU component,Product,USEC,Company,Unspecified,"Utility customers typically provide uranium to USEC as part of their enrichment contracts, and USEC delivers LEU to the customers and charges for the SWU component."
train,visual data mining,Product,Quiterian S.L.,Company,Unspecified,"During fiscal 2012, we completed our acquisition of Quiterian S.L., a privately held software company that provides visual data mining, social media analytics and predictive analytics for business and other non - technical users."
train,social media analytics,Product,Quiterian S.L.,Company,Unspecified,"During fiscal 2012, we completed our acquisition of Quiterian S.L., a privately held software company that provides visual data mining, social media analytics and predictive analytics for business and other non - technical users."
train,predictive analytics,Product,Quiterian S.L.,Company,Unspecified,"During fiscal 2012, we completed our acquisition of Quiterian S.L., a privately held software company that provides visual data mining, social media analytics and predictive analytics for business and other non - technical users."
train,legal services,Product,Barrett McNagny LLP,Company,Unspecified,"The law firm of Barrett McNagny LLP, of which Robert S. Walters is a partner, performs legal services for the Company."
train,administrative support services,Product,Alliant Energy,Company,Unspecified,Alliant Energy s administrative support services are directly charged to the applicable segment where practicable.
train,telecommunications services,Product,ACN,Company,Unspecified,"Because ACN is a direct seller of telecommunications services, we may seek to engage in commercial transactions to provide services to ACN in the future."
train,automotive aftermarket mechanical products,Product,ECP,Company,SaleOrMarketing,"ECP's product offerings are primarily focused on automotive aftermarket mechanical products, many of which are sourced from the same suppliers that provide products to the OEMs."
train,software and/or services,Product,TaxACT,Company,SaleOrMarketing,"TaxACT is the recognized value player in the digital - do - it - yourself space, offering comparable software and/or services at a lower cost to the end - user compared to larger competitors."
train,Hospira,Company,VIBATIV drug product,Product,Development,We must obtain regulatory approval for VIBATIV drug product manufactured at Hospira's facility before any such product may be sold.
train,GLP,Company,Jinji Capsule,Product,Development,"Our Jinji Capsule was commercially launched approximately 30 years ago in China by GLP, which we acquired in April 2006."
