split,head_text,head_type,tail_text,tail_type,label,sentence
train,Fable,Company,tech,Market,operatesIn,"Padmasree Warrior, considered one of the most powerful women in tech, is the founder and CEO of Fable."
train,IBM,Company,embedded systems,Market,operatesIn,"Our embedded systems compete in a highly fragmented environment in which key competitors include IBM, Intel, and versions of embeddable Linux from commercial Linux vendors such as Metrowerks and MontaVista Software."
train,Intel,Company,embedded systems,Market,operatesIn,"Our embedded systems compete in a highly fragmented environment in which key competitors include IBM, Intel, and versions of embeddable Linux from commercial Linux vendors such as Metrowerks and MontaVista Software."
train,Metrowerks,Company,commercial Linux vendors,Market,operatesIn,"Our embedded systems compete in a highly fragmented environment in which key competitors include IBM, Intel, and versions of embeddable Linux from commercial Linux vendors such as Metrowerks and MontaVista Software."
train,MontaVista Software,Company,commercial Linux vendors,Market,operatesIn,"Our embedded systems compete in a highly fragmented environment in which key competitors include IBM, Intel, and versions of embeddable Linux from commercial Linux vendors such as Metrowerks and MontaVista Software."
train,Reliance Retail,Company,oil - to - technology,Market,operatesIn,"Reliance Retail said it led a $ 240 million funding round in quick commerce firm Dunzo and now owns 25.8% stake in the Bengaluru based startup, marking the oil - to - technology conglomerate's entry into the ultra - fast commerce sector."
train,Dunzo,Company,quick commerce firm,Market,operatesIn,"Reliance Retail said it led a $ 240 million funding round in quick commerce firm Dunzo and now owns 25.8% stake in the Bengaluru based startup, marking the oil - to - technology conglomerate's entry into the ultra - fast commerce sector."
train,Dunzo,Company,ultra - fast commerce sector,Market,operatesIn,"Reliance Retail said it led a $ 240 million funding round in quick commerce firm Dunzo and now owns 25.8% stake in the Bengaluru based startup, marking the oil - to - technology conglomerate's entry into the ultra - fast commerce sector."
train,GE,Company,aircraft turbo superchargers,Market,operatesIn,"Led by Sanford Alexander Moss, GE moved into the new field of aircraft turbo superchargers."
train,Edom,Company,independent stocking representative,Market,operatesIn,"As a result of our Channel strategy, our sales are focused on a limited number of customers. Sales to Microsoft accounted for 23%, sales to Edom Technology Co., Ltd. accounted for 17% and sales to Micro - Star accounted for 15% of our total revenue for fiscal 2003. Edom is an independent stocking representative and Micro - Star is a CEM, and each purchase our products and resell these products to PC OEMs and system integrators."
train,Micro - Star,Company,CEM,Market,operatesIn,"As a result of our Channel strategy, our sales are focused on a limited number of customers. Sales to Microsoft accounted for 23%, sales to Edom Technology Co., Ltd. accounted for 17% and sales to Micro - Star accounted for 15% of our total revenue for fiscal 2003. Edom is an independent stocking representative and Micro - Star is a CEM, and each purchase our products and resell these products to PC OEMs and system integrators."
train,Lassila & Tikanoja,Company,waste management and recycling,Market,operatesIn,"29 September, 2010 Finnish waste management and recycling company Lassila & Tikanoja expands its operations in Russia by introducing its recently completed recycling plant in the city of Dubna near Moscow."
train,Apple,Company,tech,Market,operatesIn,"Apple boss Tim Cook's pay in 2021 was 1,447 times that of the average employee at the tech giant, a filing on Thursday showed, fueled by stock awards that helped him earn a total of nearly $ 100 million."
train,Truebill,Company,Financial Empowerment FinTech,Market,operatesIn,"Rocket Companies to Acquire Truebill, Adding Rapidly Expanding Financial Empowerment FinTech to the Rocket Platform"
train,Grab A Grub,Company,logistics platform,Market,operatesIn,Reliance Industries - controlled Reliance Industrial Investment and Holdings Limited (RIIHL) picked up a majority stake in Mumbai - based logistics platform Grab A Grub.
train,Comcast - Spectacor,Company,arena management - related businesses,Market,operatesIn,"Our other business interests primarily include Comcast - Spectacor, which owns the Philadelphia Flyers and the Wells Fargo Center arena in Philadelphia and operates arena management - related businesses."
train,MarVista Entertainment,Company,film and television production studio,Market,operatesIn,"In December 2021, Fox Corporation announced its acquisition of film and television production studio MarVista Entertainment."
train,Just Dial,Company,search and discovery,Market,operatesIn,Reliance Retail acquired the 25 - year - old search and discovery firm Just Dial.
train,UPS,Company,e - commerce,Market,operatesIn,UPS to purchase 19 Boeing 767 Freighters as e - commerce expands
train,Match Group,Company,technology,Market,operatesIn,"Sharmistha Dubey, is the 51 - year - old CEO of the Match Group, a $ 40 billion technology conglomerate that owns and operates several online dating applications like Tinder, OkCupid, Hinge and PlentyOfFish"
train,Tinder,Company,online dating applications,Market,operatesIn,"Sharmistha Dubey, is the 51 - year - old CEO of the Match Group, a $ 40 billion technology conglomerate that owns and operates several online dating applications like Tinder, OkCupid, Hinge and PlentyOfFish"
train,OkCupid,Company,online dating applications,Market,operatesIn,"Sharmistha Dubey, is the 51 - year - old CEO of the Match Group, a $ 40 billion technology conglomerate that owns and operates several online dating applications like Tinder, OkCupid, Hinge and PlentyOfFish"
train,Hinge,Company,online dating applications,Market,operatesIn,"Sharmistha Dubey, is the 51 - year - old CEO of the Match Group, a $ 40 billion technology conglomerate that owns and operates several online dating applications like Tinder, OkCupid, Hinge and PlentyOfFish"
train,PlentyOfFish,Company,online dating applications,Market,operatesIn,"Sharmistha Dubey, is the 51 - year - old CEO of the Match Group, a $ 40 billion technology conglomerate that owns and operates several online dating applications like Tinder, OkCupid, Hinge and PlentyOfFish"
train,Bento Box Entertainment,Company,animation studio,Market,operatesIn,"In August 2019, Fox Corporation acquired Credible Labs for $ 397 million and animation studio Bento Box Entertainment for $ 50 million."
train,ClimateCare,Company,carbon offsetting,Market,operatesIn,"In 2008, JPMorgan acquired the UK - based carbon offsetting company ClimateCare."
train,Saffron Technology,Company,cognitive computing,Market,operatesIn,"In October 2015, Intel bought cognitive computing company Saffron Technology for an undisclosed price."
train,Fitbit,Company,wearables,Market,operatesIn,"In January 2021, we closed the acquisition of Fitbit, a leading wearables brand for $ 2.1 billion."
train,AffectoGenimap Oyj,Company,business software,Market,operatesIn,Finnish business software group AffectoGenimap Oyj said its net profit halved to 1.2 mln euro ($ 1.5 mln) in the first nine months of 2006 from 2.2 mln euro ($ 2.8 mln) in the same period of 2005.
train,Dresser Industries,Company,gas engines manufacture,Market,operatesIn,"In October 2010, GE acquired gas engines manufacture Dresser Industries in a $ 3 billion."
train,HLC,Company,regional accrediting association,Market,operatesIn,"Additionally, American InterContinental University, including its campus located in the United Kingdom, is accredited by HLC (a U.S. regional accrediting association)."
train,Vans Mexico,Company,wholesale,Market,operatesIn,"As part of this transaction, VF also acquired the Vans retail stores that had been operated by the joint venture partner (together with the wholesale business, Vans Mexico)."
train,LEC Minerals Inc,Company,investment,Market,operatesIn,"Mr. Crumb is a co - founder of LEC Minerals Inc, a private investment corporation that also provides advisory services for mining / exploration companies."
train,AFG,Company,crop insurance,Market,operatesIn,"In addition to the coverage shown above, AFG reinsures a portion of its crop insurance business through the Federal Crop Insurance Corporation (FCIC)."
train,BASF,Company,specialty construction chemicals,Market,operatesIn,Our major global specialty construction chemicals competitors are BASF and Sika.
train,Sika,Company,specialty construction chemicals,Market,operatesIn,Our major global specialty construction chemicals competitors are BASF and Sika.
train,"Telephone and Data Systems , Inc. ( TDS )",Company,telecommunications service,Market,operatesIn,"Business Telephone and Data Systems, Inc. (TDS) is a diversified telecommunications service company with wireless operations provided by TDS 84%-owned subsidiary, United States Cellular Corporation (U.S. Cellular) and both wireline operations and hosted and managed services provided by TDS wholly - owned subsidiary, TDS Telecommunications Corporation (TDS Telecom)."
train,RCap,Company,broker dealer,Market,operatesIn,"As a self clearing, registered broker dealer, RCap is required to maintain minimum net capital by the Financial Industry Regulatory Authority (FINRA)."
train,The Bank of New York Mellon,Company,financial,Market,operatesIn,"9/30/2010 4.18 Credit Agreement, dated as of July 1, 2011, by and among Washington Real Estate Investment Trust, as borrower, the financial institutions party thereto as lenders, each of The Bank of New York Mellon, Citibank, N.A. and Credit Suisse AG, Cayman Islands Branch as a documentation agent, Wells Fargo Securities, LLC, as lead arranger and bookrunner, and Wells Fargo Bank, National Association, as administrative agent."
train,"Citibank , N.A.",Company,financial,Market,operatesIn,"9/30/2010 4.18 Credit Agreement, dated as of July 1, 2011, by and among Washington Real Estate Investment Trust, as borrower, the financial institutions party thereto as lenders, each of The Bank of New York Mellon, Citibank, N.A. and Credit Suisse AG, Cayman Islands Branch as a documentation agent, Wells Fargo Securities, LLC, as lead arranger and bookrunner, and Wells Fargo Bank, National Association, as administrative agent."
train,Credit Suisse AG,Company,financial,Market,operatesIn,"9/30/2010 4.18 Credit Agreement, dated as of July 1, 2011, by and among Washington Real Estate Investment Trust, as borrower, the financial institutions party thereto as lenders, each of The Bank of New York Mellon, Citibank, N.A. and Credit Suisse AG, Cayman Islands Branch as a documentation agent, Wells Fargo Securities, LLC, as lead arranger and bookrunner, and Wells Fargo Bank, National Association, as administrative agent."
train,FIDAC,Company,investment advisor,Market,operatesIn,FIDAC is a registered investment advisor and is a wholly owned taxable REIT subsidiary of the Company.
train,Royall Fleschler,Company,private accounting,Market,operatesIn,"Mr. Royall has been a partner in Royall Fleschler since 1987, a private accounting firm focused on taxation and professional services to emerging companies."
train,Nu Skin Force for Good Foundation,Company,charitable,Market,operatesIn,"Mr. Lund is a trustee of the Nu Skin Force for Good Foundation, a charitable organization established in 1996 by our company to help encourage and drive the philanthropic efforts of our company and its distributors and employees to enrich the lives of others."
train,DSUSA,Company,REO,Market,operatesIn,DSUSA s management team has over 40 combined years of experience in the REO industry.
train,Farm Bureau Life Insurance Company ( Farm Bureau Life ),Company,life insurance,Market,operatesIn,"Significant Accounting Policies Nature of Business FBL Financial Group, Inc. (we or the Company) operates predominantly in the life insurance industry through its principal subsidiary, Farm Bureau Life Insurance Company (Farm Bureau Life)."
train,"Distribution Market Advantage , Inc. ( DMA )",Company,foodservice distribution,Market,operatesIn,"Jacmar, through its affiliation with Distribution Market Advantage, Inc. (DMA), a national foodservice distribution consortium whose participants are prominent regional foodservice distributors, is currently our largest supplier of food, beverage, paper products and supplies."
train,"Empress International , Ltd.",Company,importer,Market,operatesIn,"Before joining Symbol, he served as Chief Financial Officer at Empress International, Ltd., an importer and wholesale distributor, from May 2002 to November 2003."
train,"Empress International , Ltd.",Company,wholesale distributor,Market,operatesIn,"Before joining Symbol, he served as Chief Financial Officer at Empress International, Ltd., an importer and wholesale distributor, from May 2002 to November 2003."
train,EchoStar,Company,subscription television,Market,operatesIn,"In addition, EchoStar may in the 31 Table of Contents future use its satellites, uplink and transmission assets to compete directly against us in the subscription television business."
train,Business Allegheny Technologies,Company,specialty metals producers,Market,operatesIn,Our Business Allegheny Technologies is one of the largest and most diversified specialty metals producers in the world.
train,Latham Watkins ( LW ),Company,law,Market,operatesIn,"He is a former partner of Latham Watkins (LW), an international law firm, and has been engaged in the practice of law since 1971."
train,Avaya,Company,telecommunications equipment manufacturers,Market,operatesIn,"We have OEM agreements with major telecommunications equipment manufacturers, such as Avaya and Cisco Systems, whereby we manufacture our products to work with the equipment of the OEM."
train,Cisco Systems,Company,telecommunications equipment manufacturers,Market,operatesIn,"We have OEM agreements with major telecommunications equipment manufacturers, such as Avaya and Cisco Systems, whereby we manufacture our products to work with the equipment of the OEM."
train,TEI,Company,Escrow Agent,Market,operatesIn,"TEI, a licensed California Escrow Agent and subsidiary of Timios, leases property at two locations."
train,"Santa Barbara Bank Trust , N.A.",Company,banking,Market,operatesIn,"The transaction enhanced the Company s geographic footprint within California s Central Coast region where PCBC s principal subsidiary, Santa Barbara Bank Trust, N.A., conducted its banking activities."
train,Ameren Illinois or AIC - Ameren Illinois Company,Company,electric and natural gas transmission and distribution,Market,operatesIn,"Ameren Illinois or AIC - Ameren Illinois Company, an Ameren Corporation subsidiary that operates a rate - regulated electric and natural gas transmission and distribution business in Illinois, doing business as Ameren Illinois."
train,Northbrook Bank,Company,bank,Market,operatesIn,"On July 8, 2011, the Company announced that its wholly - owned subsidiary bank, Northbrook Bank, acquired certain assets and liabilities and the banking operations of First Chicago Bank Trust ("" First Chicago "") in an FDIC - assisted transaction."
train,UPS Capital,Company,Supply Chain Freight,Market,operatesIn,"The other businesses within Supply Chain Freight experienced a $ 33 million increase in revenue, primarily due to growth at UPS Capital, the UPS Store, UPS Customer Solutions and our contract to provide domestic air transportation services for the U.S. Postal Service."
train,UPS Store,Company,Supply Chain Freight,Market,operatesIn,"The other businesses within Supply Chain Freight experienced a $ 33 million increase in revenue, primarily due to growth at UPS Capital, the UPS Store, UPS Customer Solutions and our contract to provide domestic air transportation services for the U.S. Postal Service."
train,UPS Customer Solutions,Company,Supply Chain Freight,Market,operatesIn,"The other businesses within Supply Chain Freight experienced a $ 33 million increase in revenue, primarily due to growth at UPS Capital, the UPS Store, UPS Customer Solutions and our contract to provide domestic air transportation services for the U.S. Postal Service."
train,SecureInfo,Company,cloud security,Market,operatesIn,"SecureInfo offers strategic advisory, operational cybersecurity and cybersecurity risk management services and is a recognized leader in the rapidly evolving fields of cloud security, continuous monitoring and cybersecurity training."
train,SecureInfo,Company,continuous monitoring,Market,operatesIn,"SecureInfo offers strategic advisory, operational cybersecurity and cybersecurity risk management services and is a recognized leader in the rapidly evolving fields of cloud security, continuous monitoring and cybersecurity training."
train,SecureInfo,Company,cybersecurity training,Market,operatesIn,"SecureInfo offers strategic advisory, operational cybersecurity and cybersecurity risk management services and is a recognized leader in the rapidly evolving fields of cloud security, continuous monitoring and cybersecurity training."
train,Quiterian S.L.,Company,software,Market,operatesIn,"During fiscal 2012, we completed our acquisition of Quiterian S.L., a privately held software company that provides visual data mining, social media analytics and predictive analytics for business and other non - technical users."
train,Barrett McNagny LLP,Company,law,Market,operatesIn,"The law firm of Barrett McNagny LLP, of which Robert S. Walters is a partner, performs legal services for the Company."
train,Apple,Company,smart phone,Market,operatesIn,"Apple has substantial market share in the smart phone category and controls integration of offerings, including travel services, into its mobile operating system."
train,TaxACT,Company,digital - do - it - yourself,Market,operatesIn,"TaxACT is the recognized value player in the digital - do - it - yourself space, offering comparable software and/or services at a lower cost to the end - user compared to larger competitors."
train,PricewaterhouseCoopers LLP,Company,public accounting,Market,operatesIn,"Our consolidated financial statements, together with related notes and the report of PricewaterhouseCoopers LLP, our independent registered public accounting firm, are set forth on the pages indicated in Part IV, Item 15."
train,AGENCY.COM,Company,Internet professional services,Market,operatesIn,"From September 1999 to April 2007, he was the corporate controller of AGENCY.COM, a global Internet professional services company, for which he was the Chief Accounting Officer from May 2000 until September 2001 and the Chief Financial Officer from October 2001 to April 2007."
train,UPS,Company,express carrier,Market,operatesIn,"Over the past several years, UPS has made a successful transition to become the first wholly - owned foreign express carrier in China."
train,Williams Partners,Company,natural gas gatherers and processors,Market,operatesIn,"Midstream Business Williams Partners midstream business, one of the nation s largest natural gas gatherers and processors, has primary service areas concentrated in major producing basins in Colorado, New Mexico, Wyoming, the Gulf of Mexico, Louisiana, Pennsylvania, West Virginia, New York, and Ohio."
train,Life Technologies,Company,e - commerce,Market,operatesIn,"In addition, to drive enhanced productivity for the Company and its customers, Life Technologies has a significant and growing e - commerce platform."
train,IPL,Company,wholesale energy,Market,operatesIn,Wholesale Energy Market - IPL and WPL began participation in the wholesale energy market operated by MISO in 2005.
train,WPL,Company,wholesale energy,Market,operatesIn,Wholesale Energy Market - IPL and WPL began participation in the wholesale energy market operated by MISO in 2005.
train,MISO,Company,wholesale energy,Market,operatesIn,Wholesale Energy Market - IPL and WPL began participation in the wholesale energy market operated by MISO in 2005.
train,USEC,Company,chemical processing,Market,operatesIn,"USEC supplies companies in the utility industry, and its business is similar to that of chemical processing companies."
train,TRADOS Software,Company,globalization software,Market,operatesIn,"From May 2002 to January 2006, he served as Senior Vice President of Products at TRADOS Software, a globalization software company."
train,Movidius,Company,computer vision,Market,operatesIn,"In December 2016, Intel acquired computer vision startup Movidius for an undisclosed price."
train,Stora,Company,forest products,Market,operatesIn,Stora Chief Executive Jouko Karvinen has described the Russian tariff hikes as a threat to the future of the forest products industry in Finland.
train,Rebel Foods,Company,Cloud Kitchen,Market,operatesIn,"Cloud Kitchen brand Rebel Foods which operates 9 sub - brands including Faasos and Behrouz Biryani across 3 countries had an eventful fiscal which ended in March 2021. The Mumbai - based foodtech unicorn faced disruption in its operations due to Covid-19 lockdowns in FY21 even as it managed to raise successive funding rounds from the New York - based Coatue Management. 
"
train,Rebel Foods,Company,foodtech,Market,operatesIn,"Cloud Kitchen brand Rebel Foods which operates 9 sub - brands including Faasos and Behrouz Biryani across 3 countries had an eventful fiscal which ended in March 2021. The Mumbai - based foodtech unicorn faced disruption in its operations due to Covid-19 lockdowns in FY21 even as it managed to raise successive funding rounds from the New York - based Coatue Management. 
"
train,Nervana Systems,Company,deep - learning,Market,operatesIn,"In August 2016, Intel purchased deep - learning startup Nervana Systems for over $ 400 million."
train,Topps,Company,Trading Card,Market,operatesIn,Michael Eisner Sells Trading Card Company Topps to Fanatics for $ 500 Million.
train,Edgile,Company,cybersecurity,Market,operatesIn,Wipro to acquire US cybersecurity firm Edgile for $ 230 million
train,Vimeo,Company,software,Market,operatesIn,"Anjali Sud who was appointed as the CEO of Vimeo in 2017, and reinvented the company as a software company that serves video creators."
train,Citigroup,Company,consumer banking,Market,operatesIn,"Citigroup profit drops 26% over higher expenses, consumer banking weakness."
train,Efore,Company,eletric vehicle ( EV ),Market,operatesIn,Efore has decided to establish a company for eletric vehicle (EV) business in China.
train,New York Times Co.,Company,newspaper,Market,operatesIn,"The New York Times Co. is buying sports news site The Athletic for $ 550 million, the latest move in its strategy to expand its audience of paying subscribers as the newspaper print ads business fades."
train,The Athletic,Company,sports news site,Market,operatesIn,"The New York Times Co. is buying sports news site The Athletic for $ 550 million, the latest move in its strategy to expand its audience of paying subscribers as the newspaper print ads business fades."
train,Vertex Pharmaceuticals,Company,biopharmaceutical,Market,operatesIn,"Reshma Kewalramani joined as the president and chief executive officer of Vertex Pharmaceuticals, an American biopharmaceutical company in 2017."
train,"Wal - Mart Stores , Inc.",Company,retailer,Market,operatesIn,"Wal - Mart Stores, Inc. (together with its subsidiaries hereinafter referred to as the "" Company "") is the world's largest retailer measured by total revenues. During the fiscal year ended January 31, 2001, the Company had net sales of $ 191,329,000,000."
train,Piaggio,Company,scooter maker,Market,operatesIn,The Indian subsidiary of Italian premium scooter maker Piaggio has said its new Aprilia scooter range will be available at its over 100 Motoplex multi - brand retail stores across southern states.
train,Infosys Limited,Company,information technology,Market,operatesIn,"Infosys Limited is an Indian multinational information technology company that provides business consulting, information technology, and outsourcing services. The company is headquartered in Bangalore."
